slot	file	verdict
BOOK_151	P500_BOOK_151.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_162	P500_BOOK_162.md	PASS_35A_ONLY_COPY_ALL_8463_NEGATIVE_EV
BOOK_150	P500_BOOK_150.md	CONFIRMED_SHADOW_100PCT_DEMO_HEAD_ADMITS_S004_FACTORY_COPY_ALL_8463_NEGEV
BOOK_147	P500_BOOK_147.md	SCALPS_DIE_AFTER_COSTS_DEMO_ADMIT_STALE_107
BOOK_138	P500_BOOK_138.md	DEST_ONLY_FLATTEN_LAW_NEVER_MT5_SOURCE_BOOK118_DEMO_REJECT_STALE
BOOK_142	P500_BOOK_142.md	PASS_35A_ONLY_COPY_ALL_8463_NEGATIVE_EV
BOOK_131	P500_BOOK_131.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_130	P500_BOOK_130.md	CONFIRMED_SHADOW_100PCT_DEMO_HEAD_ADMITS_DEMO_CONTEST_COPY_ALL_8463_NEGEV
BOOK_128	P500_BOOK_128.md	LOSS_CAPS_NOT_EDGE
BOOK_115	P500_BOOK_115.md	INMEMORY_SCORES_VANISH_NO_LIVE_BOOK
BOOK_111	P500_BOOK_111.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_110	P500_BOOK_110.md	CONFIRMED_SHADOW_100PCT_DEMO_NO_REAL_STARWAVE_OR_CONTEST
BOOK_91	P500_BOOK_91.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_71	P500_BOOK_71.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_64	P500_BOOK_64.md	PASS_SEC3_FAIL_LIVE_PROFIT_CLAIM
BOOK_54	P500_BOOK_54.md	ML_NOT_BUILT_CORRECT
BOOK_51	P500_BOOK_51.md	NEVER_COPY_RISK_BLOCKED_-241k
BOOK_35	P500_BOOK_35.md	INMEMORY_SCORES_VANISH_NO_LIVE_BOOK
BOOK_41	P500_BOOK_41.md	16_OF_19_CUT_NEW_LOSS_0_TRADER_RISK_BLOCKED
BOOK_8	P500_BOOK_8.md	LOSS_CAPS_NOT_EDGE
BOOK_1	P500_BOOK_1.md	16_OF_19_CUT_NEW_LOSS_0_TRADER_RISK_BLOCKED
SYN	P500_PROFIT_SYNTHESIS.md	SEND_NOW_NEGATIVE_EV
S001	P500_S001_scorer_vs_negative_pnl.md	SHADOW_NOT_PROFIT_FILTER
S002	P500_S002_fix_no_send.md	SAFE_BY_ABSENCE
S004	P500_S004_demo_adverse_selection.md	ALL_SHADOW_DEMO
S005	P500_S005_gold_scalp_uncopyable.md	SCALPS_DIE_IN_SPREAD
S006	P500_S006_lot_explosion.md	303310_NOT_COPYABLE
S007	P500_S007_blocked_left_tail.md	BLOCKED_-241k
S008	P500_S008_no_quote_tape.md	SHADOW_PNL_ZERO
S011	P500_S011_no_auto_live.md	CAN_PROMOTE_FALSE
S027	P500_S027_martingale_holes.md	GRID_UNDETECTED
S032	P500_S032_logon_not_session.md	PROBE_NOT_SESSION
S043	P500_S043_slippage_unused.md	DEAD_LIMIT
S054	P500_S054_ev_copy_all.md	COPY_ALL_NEGATIVE
S055	P500_S055_ruin.md	DEST_RUIN_IF_SENT
S056	P500_S056_hold_unused.md	HOLD_UNUSED_IN_QUALITY
WF	ctrader-profit-path.rhai	500_AGENTS_LAUNCHED
